Entity,Code,Year,Midpoint,Upper bound,Lower bound
Saint Pierre and Miquelon,SPM,2016,2735474.8,4075796.2,1395153.2
Saint Vincent and the Grenadines,VCT,2016,2289792000,4269092900,310491040
Samoa,WSM,2016,107088360,153880350,60296372
Sao Tome and Principe,STP,2016,93001360,136821300,49181420
Saudi Arabia,SAU,2016,719070900,1027646140,410495650
Senegal,SEN,2016,6343993300,9863332000,2824655400
Serbia,SRB,2016,74519250,134012070,15026417
Seychelles,SYC,2016,94556230,139411540,49700930
Sierra Leone,SLE,2016,3672872000,6254208500,1091535400
Singapore,SGP,2016,20228526,30301606,10155447
Sint Maarten (Dutch part),SXM,2016,2646071,3800265.8,1491876.2
Slovakia,SVK,2016,7076007,12621076,1530938.2
Slovenia,SVN,2016,14126943,21954682,6299204.5
Solomon Islands,SLB,2016,189219600,273233250,105205960
Somalia,SOM,2016,531051740,762692200,299411260
South Africa,ZAF,2016,18960134000,30050382000,7869886500
South America,,2016,428905660000,629129200000,228682100000
South Korea,KOR,2016,18228816000,22883025000,13574606000
South Sudan,SSD,2016,336271520,482950430,189592600
Spain,ESP,2016,8224821000,13366948000,3082695000
Sri Lanka,LKA,2016,4897537000,7042854000,2752220200
Sudan,SDN,2016,145740740,207347580,84133900
Sudan (former),,2016,321322270,457606100,185038430
Suriname,SUR,2016,470069800,675159900,264979710
Sweden,SWE,2016,6557739500,6940996000,6174483000
Switzerland,CHE,2016,22455804,32307872,12603737
Syria,SYR,2016,105724456,164587460,46861460
Taiwan,TWN,2016,4357948400,5641470000,3074427000
Tajikistan,TJK,2016,9575708,13764460,5386956.5
Tanzania,TZA,2016,5240766500,7891664400,2589868800
Thailand,THA,2016,48664252000,84124960000,13203544000
Togo,TGO,2016,700354560,1102627700,298081400
Tokelau,TKL,2016,638235.5,922402.56,354068.5
Tonga,TON,2016,22598042,33170368,12025716
Trinidad and Tobago,TTO,2016,163566380,236197140,90935624
Tunisia,TUN,2016,2271667200,4054491100,488843230
Turkey,TUR,2016,19955880000,31268102000,8643660000
Turkmenistan,TKM,2016,4075880400,4737035000,3414726100
Turks and Caicos Islands,TCA,2016,683587.5,981764.94,385410.1
Tuvalu,TUV,2016,18232138,26649768,9814507
Uganda,UGA,2016,5630400500,8093639000,3167161600
Ukraine,UKR,2016,8953444000,12246816000,5660073000
United Arab Emirates,ARE,2016,1473991000,2312427000,635555100
United Kingdom,GBR,2016,2449208300,3177643000,1720773400
United States,USA,2016,12380123000,17073948000,7686299000
United States Virgin Islands,VIR,2016,6565625,9486479,3644771
Upper-middle-income countries,,2016,714131900000,1062631640000,365632200000
Uruguay,URY,2016,377126000,525656200,228595820
Uzbekistan,UZB,2016,97312200,138248640,56375756
Vanuatu,VUT,2016,240619500,390478800,90760220
Venezuela,VEN,2016,1891331100,2490375000,1292287400
Vietnam,VNM,2016,34292965000,49254707000,19331222000
Wallis and Futuna,WLF,2016,12967197,18656282,7278111.5
World,OWID_WRL,2016,1558112400000,2328766400000,787458360000
Yemen,YEM,2016,1711072600,2529213700,892931650
Zambia,ZMB,2016,1448113900,2079770500,816457340
Zanzibar,OWID_ZAN,2016,786188400,1377564700,194812210
Zimbabwe,ZWE,2016,231168910,332003970,130333864
