url,content,type,position
https://africaanimalmedia.com/2022/09/20/wild-animals-may-go-into-extinction-as-hunters-farmers-intensify-bush-burning-in-nigeria/,"SENTIENT COMMUNICATIONS LIMITED
Supported by Animal Ethics Inc.
© Alright Reserved. 2022.",text,57
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/uploads/2022/09/logo.png,image,1
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/uploads/2022/09/logo4-1.png,image,2
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"For the Love of Animal: 35 Year Old Sule holding his Pet , Monitor Lizard on Sunday in Ashafa Village, Bwari , Abuja, Nigeria .",text,3
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,4
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"For the Love of Animal: 35 Year Old Sule holding his Pet , Monitor Lizard on Sunday in Ashafa Village, Bwari , Abuja, Nigeria . Photo Credit: Africa Animal Media",text,5
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"Wild Animals May Go Into Extinction As Hunters, Farmers Intensify Bush Burning in Nigeria",text,6
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"Veterinary week: Animals under going vaccination in Kogi State, Nigeria",text,7
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,AAM Staff,text,8
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,9
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"Veterinary week: Animals under going vaccination in Kogi State, Nigeria",text,10
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,Stay Connected test,text,11
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,12
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"Farm Centre Produces Herbal Supplements As Vaccines Alternative For Livestock, Birds In Nigeria",text,13
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,14
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,Three Thousand Home Animals to be vaccinated In Kogi,text,15
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,16
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,Our Sincere Appreciations   To You All,text,17
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,18
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"1,468 Farm Centers  Adopt Herbal Supplements To Boost Animals Health In Nigeria",text,19
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,20
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,Three Thousand Home Animals to be vaccinated In Kogi,text,21
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,22
https://africaanimalmedia.com/2022/09/22/for-the-love-of-animal-35-year-old-sule-holding-his-pet-monitor-lizard-on-sunday-in-ashafa-village-bwari-abuja-nigeria/,"Wild Animals May Go Into Extinction As Hunters, Farmers Intensify Bush Burning in Nigeria",text,23
