email_url,content,type,position,date,emails_sent,open_rate,click_through_rate,delivery_rate,bounce_rate,unsubscribe_rate,spam_rate,share_rate
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i5.createsend1.com/ei/t/C5/7CB/2A5/csimport/ES-FB-Icon.031815.jpg,image,16,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,Cambia tu foto de perfil utilizando uno de nuestrosmarcos de Facebook#QuitemosLasPandemiasDelMenú,text,17,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i6.createsend1.com/ei/t/C5/7CB/2A5/csimport/ES-IG-_Icon.031833.jpg,image,18,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,Usa nuestroefecto de máscaraen tu cámara para tomar una foto o grabar un video con tu teléfono móvil.,text,19,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i4.createsend1.com/ti/t/29/EB4/774/031042/list-item.png,image,20,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,"¡Comparte nuestras publicaciones en redes sociales y etiqueta a@milliondollarveganespanolen las tuyas!En Twitter, síguenos y haz RT a nuestro contenido.",text,21,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i6.createsend1.com/ti/t/29/EB4/774/031042/footer-logo.png,image,22,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,Gracias por quitar las pandemias del menú.,text,23,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0EFDC277413BD1A32540EF23F30FEDED&temp=False&tx=0&source=Report,https://i4.createsend1.com/ti/t/90/878/18C/220726/logo.png,image,1,5 Mar 2024,"28,236",0.17,0.01,0.98,0.02,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0EFDC277413BD1A32540EF23F30FEDED&temp=False&tx=0&source=Report,Ficamos felizes em anunciar que nossa campanha de apoio às 1.000 búfalas resgatadas em Brotas está no ar e já alcançamos mais de 8.500 inscrições!,text,2,5 Mar 2024,"28,236",0.17,0.01,0.98,0.02,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0EFDC277413BD1A32540EF23F30FEDED&temp=False&tx=0&source=Report,"Para cada pessoa que se inscrever em um dos nossos programas gratuitos sobre veganismo, a Geração Vegana vai doar 1 dólar para os santuários Vale da Rainha e Rancho dos Gnomos, que cuidam desses animais. Nosso objetivo é chegar a uma doação de 10.000 dólares. Estamos quase lá!",text,3,5 Mar 2024,"28,236",0.17,0.01,0.98,0.02,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0EFDC277413BD1A32540EF23F30FEDED&temp=False&tx=0&source=Report,https://i1.createsend1.com/ei/t/FC/E5A/A5D/csimport/Header-image.095853.jpg,image,4,5 Mar 2024,"28,236",0.17,0.01,0.98,0.02,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0EFDC277413BD1A32540EF23F30FEDED&temp=False&tx=0&source=Report,"Temos até o dia 14 de março para bater a meta de 10.000 inscrições para ajudar as Búfalas de Brotas! Por isso, precisamos da mobilização de toda a comunidade da Geração Vegana. Compartilhe esta informação com sua família e amigos. Peça para que se inscrevam em um dos nossos programas: pelos animais, pela saúde, pelo planeta, pela humanidade ou pela espiritualidade.",text,5,5 Mar 2024,"28,236",0.17,0.01,0.98,0.02,0.00,0.00,0.00
